occurrence_index,section,flag_heading,flag_name_cli,restart_needed_badge,master_tserver_match_badge,other_badges_or_notes,default_documented,required_documented,description_excerpt,source_path
1,Cluster balancing flags,--load_balancer_skip_leader_as_remove_victim,--load_balancer_skip_leader_as_remove_victim,no,no,,false,no,Should the LB skip a leader as a possible remove candidate. Default: 'false',docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--max_clock_skew_usec,--max_clock_skew_usec,yes,no,,"`500000` (500,000 µs = 500ms)",no,"Default: '500000' (500,000 µs = 500ms) The expected maximum clock skew, in microseconds (µs), between any two servers in your deployment.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--replication_factor,--replication_factor,no,no,,3,no,"The number of replicas, or copies of data, to store for each tablet in the universe. Default: '3'",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--yb_num_shards_per_tserver,--yb_num_shards_per_tserver,no,yes,,"`-1`, where the number of shards is determined at runtime, as follows:",no,"Default: '-1', where the number of shards is determined at runtime, as follows: The number of shards (tablets) per YB-TServer for each YCQL table when a user table is created. - If enable_automatic_tablet_splitting is 'true' - The default value is considered as '1'. - For servers with 4 CPU cores or less, the number of tablets for each table doesn't depend on the number of YB-TServers. Instead, for 2 CPU cores or less, 1 tablet per cluster is created; for 4 CPU cores or less, 2 tablets per cluster are created. - If 'enable_automatic_tablet_splitting' is 'false' - For servers with up to two CPU cores, the default value is considered as '4'. - For three or more CPU cores, the default value is considered as '8'. Local cluster installations created using yb-ctl and yb-docker-ctl use a default value of '2' for this flag.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--ysql_num_shards_per_tserver,--ysql_num_shards_per_tserver,no,yes,,"`-1`, where the number of shards is determined at runtime, as follows:",no,"Default: '-1', where the number of shards is determined at runtime, as follows: The number of shards (tablets) per YB-TServer for each YSQL table when a user table is created. - If enable_automatic_tablet_splitting is 'true' - The default value is considered as '1'. - For servers with 4 CPU cores or less, the number of tablets for each table doesn't depend on the number of YB-TServers. Instead, for 2 CPU cores or less, 1 tablet per cluster is created; for 4 CPU cores or less, 2 tablets per cluster are created. - If 'enable_automatic_tablet_splitting' is 'false' - For servers with up to two CPU cores, the default value is considered as '2'. - For servers with three or four CPU cores, the default value is considered as '4'. - Beyond four cores, the default value is considered as '8'.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--ysql_colocate_database_by_default,--ysql_colocate_database_by_default,yes,no,,false,no,"Default: 'false' When enabled, all databases created in the cluster are colocated by default. If you enable the flag after creating a cluster, you need to restart the YB-Master and YB-TServer services. For more details, see clusters in colocated tables.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,enforce_tablet_replica_limits,enforce_tablet_replica_limits,no,no,,`true`. No limits are enforced if this is false.,no,"Enables/disables blocking of requests which would bring the total number of tablets in the system over a limit. For more information, see Tablet limits. Default: 'true'. No limits are enforced if this is false.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,split_respects_tablet_replica_limits,split_respects_tablet_replica_limits,no,no,,true,no,"If set, tablets will not be split if the total number of tablet replicas in the cluster after the split would exceed the limit after the split. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,tablet_replicas_per_core_limit,tablet_replicas_per_core_limit,no,no,,`0` for no limit.,no,The number of tablet replicas that each core on a YB-TServer can support. Default: '0' for no limit.,docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,tablet_replicas_per_gib_limit,tablet_replicas_per_gib_limit,no,no,,1024 * (7/10) (corresponding to an overhead of roughly 700 KiB per tablet),no,The number of tablet replicas that each GiB reserved by YB-TServers for tablet overheads can support. Default: 1024 * (7/10) (corresponding to an overhead of roughly 700 KiB per tablet),docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--max_create_tablets_per_ts,--max_create_tablets_per_ts,no,no,,50,no,The maximum number of tablets per tablet server that can be specified when creating a table. This also limits the number of tablets that can be created by tablet splitting. Default: '50',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--enable_automatic_tablet_splitting,--enable_automatic_tablet_splitting,no,yes,,"Auto flag — initial `false`, target `true` (after promotion, behaves as `true`; see [All YB-Master flags](../all-flags-yb-master/) for full metadata)",no,"Default: Auto flag — initial 'false', target 'true' (after promotion, behaves as 'true'; see All YB-Master flags for full metadata) Enables YugabyteDB to automatically split tablets, based on the specified tablet threshold sizes configured below. This value must match on all yb-master and yb-tserver configurations of a YugabyteDB cluster.",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_low_phase_shard_count_per_node,--tablet_split_low_phase_shard_count_per_node,no,no,,1,no,The threshold number of shards (per cluster node) in a table below which automatic tablet splitting will use '--tablet_split_low_phase_size_threshold_bytes' to determine which tablets to split. Default: '1',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_low_phase_size_threshold_bytes,--tablet_split_low_phase_size_threshold_bytes,no,no,,128 MiB,no,"The size threshold used to determine if a tablet should be split when the tablet's table is in the ""low"" phase of automatic tablet splitting. See '--tablet_split_low_phase_shard_count_per_node'. Default: '128 MiB'",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_high_phase_shard_count_per_node,--tablet_split_high_phase_shard_count_per_node,no,no,,24,no,The threshold number of shards (per cluster node) in a table below which automatic tablet splitting will use '--tablet_split_high_phase_size_threshold_bytes' to determine which tablets to split. Default: '24',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_high_phase_size_threshold_bytes,--tablet_split_high_phase_size_threshold_bytes,no,no,,10 GiB,no,"The size threshold used to determine if a tablet should be split when the tablet's table is in the ""high"" phase of automatic tablet splitting. See '--tablet_split_high_phase_shard_count_per_node'. Default: '10 GiB'",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_force_split_threshold_bytes,--tablet_force_split_threshold_bytes,no,no,,100 GiB,no,"The size threshold used to determine if a tablet should be split even if the table's number of shards puts it past the ""high phase"". Default: '100 GiB'",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_limit_per_table,--tablet_split_limit_per_table,no,no,,0,no,The maximum number of tablets per table for tablet splitting. Limitation is disabled if this value is set to 0. Default: '0',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--index_backfill_tablet_split_completion_timeout_sec,--index_backfill_tablet_split_completion_timeout_sec,no,no,,30,no,Total time to wait for tablet splitting to complete on a table on which a backfill is running before aborting the backfill and marking it as failed. Default: '30',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--index_backfill_tablet_split_completion_poll_freq_ms,--index_backfill_tablet_split_completion_poll_freq_ms,no,no,,2000,no,Delay before retrying to see if tablet splitting has completed on the table on which a backfill is running. Default: '2000',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--process_split_tablet_candidates_interval_msec,--process_split_tablet_candidates_interval_msec,no,no,,0,no,"The minimum time between automatic splitting attempts. The actual splitting time between runs is also affected by 'catalog_manager_bg_task_wait_ms', which controls how long the background tasks thread sleeps at the end of each loop. Default: '0'",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--outstanding_tablet_split_limit,--outstanding_tablet_split_limit,no,no,,0,no,Limits the number of total outstanding tablet splits. Limitation is disabled if value is set to '0'. Limit includes tablets that are performing post-split compactions. Default: '0',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--outstanding_tablet_split_limit_per_tserver,--outstanding_tablet_split_limit_per_tserver,no,no,,1,no,Limits the number of outstanding tablet splits per node. Limitation is disabled if value is set to '0'. Limit includes tablets that are performing post-split compactions. Default: '1',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--enable_tablet_split_of_pitr_tables,--enable_tablet_split_of_pitr_tables,no,no,,true,no,Enables automatic tablet splitting of tables covered by Point-In-Time Recovery schedules. Default: 'true',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--prevent_split_for_ttl_tables_for_seconds,--prevent_split_for_ttl_tables_for_seconds,no,no,,86400,no,Number of seconds between checks for whether to split a tablet with a default TTL. Checks are disabled if this value is set to 0. Default: '86400',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--prevent_split_for_small_key_range_tablets_for_seconds,--prevent_split_for_small_key_range_tablets_for_seconds,no,no,,300,no,Number of seconds between checks for whether to split a tablet whose key range is too small to be split. Checks are disabled if this value is set to 0. Default: '300',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--sort_automatic_tablet_splitting_candidates,--sort_automatic_tablet_splitting_candidates,no,no,,true,no,"Determines whether to sort automatic split candidates from largest to smallest (prioritizing larger tablets for split). Default: 'true' Syntax: - *master-addresses*: Comma-separated list of YB-Master hosts and ports. Default value is 'localhost:7100'. - *bytes*: The threshold size, in bytes, after which tablets should be split. Default value of '0' disables automatic tablet splitting. For details on automatic tablet splitting, see the following: - Automatic tablet splitting — Architecture overview. - Automatic Re-sharding of Data with Tablet Splitting — Architecture design document in the GitHub repository.",docs/content/stable/reference/configuration/yb-master.md
1,Geo-distribution flags,--placement_zone,--placement_zone,yes,no,,rack1,no,"Default: 'rack1' The name of the availability zone (AZ), or rack, where this instance is deployed.",docs/content/stable/reference/configuration/yb-master.md
1,Geo-distribution flags,--placement_region,--placement_region,yes,no,,datacenter1,no,Default: 'datacenter1' Name of the region or data center where this instance is deployed.,docs/content/stable/reference/configuration/yb-master.md
1,Geo-distribution flags,--placement_cloud,--placement_cloud,yes,no,,cloud1,no,Default: 'cloud1' Name of the cloud where this instance is deployed.,docs/content/stable/reference/configuration/yb-master.md
1,Geo-distribution flags,--placement_uuid,--placement_uuid,yes,no,,"""""",no,"Default: '""""' The unique identifier for the cluster.",docs/content/stable/reference/configuration/yb-master.md
2,Geo-distribution flags,--use_private_ip,--use_private_ip,yes,no,,never,no,"Default: 'never' Determines when to use private IP addresses. Possible values are 'never' (default), 'zone', 'cloud', and 'region'. Based on the values of the 'placement_*' configuration flags.",docs/content/stable/reference/configuration/yb-master.md
1,Geo-distribution flags,--auto_create_local_transaction_tables,--auto_create_local_transaction_tables,no,no,,true,no,"If true, transaction tables will be automatically created for any YSQL tablespace which has a placement and at least one other table in it. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--certs_dir,--certs_dir,yes,no,,"`""""` (uses `<data drive>/yb-data/master/data/certs`.)",no,"Default: '""""' (uses '<data drive>/yb-data/master/data/certs'.) Directory that contains certificate authority, private key, and certificates for this server.",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--certs_for_client_dir,--certs_for_client_dir,yes,no,,"`""""` (Use the same directory as certs_dir.)",no,"Default: '""""' (Use the same directory as certs_dir.) The directory that contains certificate authority, private key, and certificates for this server that should be used for client-to-server communications.",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--allow_insecure_connections,--allow_insecure_connections,yes,no,,true,no,Default: 'true' Allow insecure connections. Set to 'false' to prevent any process with unencrypted communication from joining a cluster. Note that this flag requires use_node_to_node_encryption to be enabled and use_client_to_server_encryption to be enabled.,docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--dump_certificate_entries,--dump_certificate_entries,yes,no,,false,no,"Default: 'false' Adds certificate entries, including IP addresses and hostnames, to log for handshake error messages. Enabling this flag is helpful for debugging certificate issues.",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--use_client_to_server_encryption,--use_client_to_server_encryption,yes,no,,false,no,"Default: 'false' Use client-to-server (client-to-node) encryption to protect data in transit between YugabyteDB servers and clients, tools, and APIs.",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--use_node_to_node_encryption,--use_node_to_node_encryption,no,no,,false,no,"Enables server-server (node-to-node) encryption between YB-Master and YB-TServer servers in a cluster or universe. To work properly, all YB-TServer servers must also have their --use_node_to_node_encryption flag enabled. When enabled, --allow_insecure_connections should be set to false to disallow insecure connections. Default: 'false'",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--cipher_list,--cipher_list,yes,no,,"`""""` (empty string; library defaults apply)",no,"Default: '""""' (empty string; library defaults apply) Specify cipher lists for TLS 1.2 and earlier versions. (For TLS 1.3, use --ciphersuites.) Use a colon-separated list of TLS 1.2 cipher names in order of preference. Use an exclamation mark ( '!' ) to exclude ciphers. For example: This allows all ciphers for TLS 1.2 to be accepted, except those matching the category of ciphers omitted. This flag requires a restart or rolling restart. For more information, refer to SSL_CTX_set_cipher_list in the OpenSSL documentation.",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--ciphersuites,--ciphersuites,yes,no,,"`""""` (empty string; library defaults apply)",no,"Default: '""""' (empty string; library defaults apply) Define the available TLS 1.3 ciphersuites. For TLS 1.2 and earlier, use --cipher_list. Use a colon-separated list of TLS 1.3 ciphersuite names in order of preference. Use an exclamation mark ( ! ) to exclude ciphers. For example: This allows all ciphersuites for TLS 1.3 to be accepted, except CHACHA20 ciphers. This flag requires a restart or rolling restart. For more information, refer to SSL_CTX_set_cipher_list in the OpenSSL documentation.",docs/content/stable/reference/configuration/yb-master.md
1,Security flags,--ssl_protocols,--ssl_protocols,yes,no,,"An empty string, which is equivalent to allowing all protocols except ""ssl2"" and ""ssl3"".",no,"Default: An empty string, which is equivalent to allowing all protocols except ""ssl2"" and ""ssl3"". Specifies an explicit allow-list of TLS protocols for YugabyteDB's internal RPC communication. You can pass a comma-separated list of strings, where the strings can be one of ""ssl2"", ""ssl3"", ""tls10"", ""tls11"", ""tls12"", and ""tls13"". You can set the TLS version for node-to-node and client-node communication. To enforce TLS 1.2, set the flag to tls12 as follows: To specify a _minimum_ TLS version of 1.2, for example, the flag needs to be set to tls12, tls13, and all available subsequent versions. By default, PostgreSQL uses a default minimum version for TLS of v1.2, as set using the ssl_min_protocol_version configuration parameter.",docs/content/stable/reference/configuration/yb-master.md
1,Change data capture (CDC) flags,--cdc_state_table_num_tablets,--cdc_state_table_num_tablets,no,no,,`0` (Use the same default number of tablets as for regular tables.),no,The number of tablets to use when creating the CDC state table. Used in both xCluster and CDCSDK. Default: '0' (Use the same default number of tablets as for regular tables.),docs/content/stable/reference/configuration/yb-master.md
1,Change data capture (CDC) flags,--cdc_wal_retention_time_secs,--cdc_wal_retention_time_secs,no,no,,`28800` (8 hours),no,"WAL retention time, in seconds, to be used for tables for which a CDC stream was created. Used in both xCluster and CDCSDK. Default: '28800' (8 hours)",docs/content/stable/reference/configuration/yb-master.md
1,Change data capture (CDC) flags,--cdc_intent_retention_ms,--cdc_intent_retention_ms,no,no,,`28800000` (8 hours),no,"The time period, in milliseconds, after which the intents will be cleaned up if there is no client polling for the change records. Default: '28800000' (8 hours)",docs/content/stable/reference/configuration/yb-master.md
1,Change data capture (CDC) flags,--cdcsdk_tablet_not_of_interest_timeout_secs,--cdcsdk_tablet_not_of_interest_timeout_secs,no,no,,`14400` (4 hours),no,"Timeout after which it is inferred that a particular tablet is not of interest for CDC. To indicate that a particular tablet is of interest for CDC, it should be polled at least once within this interval of stream / slot creation. Default: '14400' (4 hours)",docs/content/stable/reference/configuration/yb-master.md
1,Change data capture (CDC) flags,--enable_tablet_split_of_cdcsdk_streamed_tables,--enable_tablet_split_of_cdcsdk_streamed_tables,no,no,,true,no,"Toggle automatic tablet splitting for tables in a CDCSDK stream, enhancing user control over replication processes. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,Change data capture (CDC) flags,--enable_truncate_cdcsdk_table,--enable_truncate_cdcsdk_table,no,no,,false,no,"By default, TRUNCATE commands on tables with an active CDCSDK stream will fail. Change this flag to 'true' to enable truncating tables. Default: 'false'",docs/content/stable/reference/configuration/yb-master.md
1,Change data capture (CDC) flags,--enable_tablet_split_of_replication_slot_streamed_tables,--enable_tablet_split_of_replication_slot_streamed_tables,no,no,,true,no,Toggle automatic tablet splitting for tables under replication slot. Applicable only to CDC using the PostgreSQL logical replication protocol. Default: 'true',docs/content/stable/reference/configuration/yb-master.md
1,Metric export flags,--export_help_and_type_in_prometheus_metrics,--export_help_and_type_in_prometheus_metrics,no,no,,true,no,"This flag controls whether #TYPE and #HELP information is included as part of the Prometheus metrics output by default. To override this flag on a per-scrape basis, set the URL parameter 'show_help' to 'true' to include, or to 'false' to not include type and help information.  For example, querying 'http://localhost:7000/prometheus-metrics?show_help=true' returns type and help information regardless of the setting of this flag. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,Metric export flags,--max_prometheus_metric_entries,--max_prometheus_metric_entries,no,no,,UINT32_MAX,no,"Introduced in version 2.21.1.0, this flag limits the number of Prometheus metric entries returned per scrape. If adding a metric with all its entities exceeds this limit, all entries from that metric are excluded. This could result in fewer entries than the set limit. To override this flag on a per-scrape basis, you can adjust the URL parameter 'max_metric_entries'. Default: 'UINT32_MAX'",docs/content/stable/reference/configuration/yb-master.md
1,Catalog flags,--ysql_enable_db_catalog_version_mode,--ysql_enable_db_catalog_version_mode,no,no,,true,no,"This flag is marked 'hidden' in the server binary, so it does not appear in autogenerated flag dumps (for example, '--dump_flags_xml' or the downloadable all-flags XML). Enable the per database catalog version mode. A DDL statement that affects the current database can only increment catalog version for that database. Default: 'true' Previously, after a DDL statement is executed, if the DDL statement increments the catalog version, then all the existing connections need to refresh catalog caches before they execute the next statement. When per database catalog version mode is enabled, multiple DDL statements can be concurrently executed if each DDL only affects its current database and is executed in a separate database. Existing connections only need to refresh their catalog caches if they are connected to",docs/content/stable/reference/configuration/yb-master.md
1,Catalog flags,--enable_heartbeat_pg_catalog_versions_cache,--enable_heartbeat_pg_catalog_versions_cache,no,no,,false,no,"Whether to enable the use of heartbeat catalog versions cache for the 'pg_yb_catalog_version' table which can help to reduce the number of reads from the table. This is beneficial when there are many databases and/or many yb-tservers in the cluster. Note that 'enable_heartbeat_pg_catalog_versions_cache' is only used when ysql_enable_db_catalog_version_mode is true. Default: 'false' Each YB-TServer regularly sends a heartbeat request to the YB-Master leader. As part of the heartbeat response, YB-Master leader reads all the rows in the table 'pg_yb_catalog_version' and sends the result back in the heartbeat response. As there is one row in the table 'pg_yb_catalog_version' for each database, the cost of reading 'table pg_yb_catalog_version' becomes more expensive when the number of YB-TServers, or the number of databases goes up.",docs/content/stable/reference/configuration/yb-master.md
1,Catalog flags,--ysql_yb_enable_invalidation_messages,--ysql_yb_enable_invalidation_messages,no,no,,true,no,"Enables YSQL backends to generate and consume invalidation messages incrementally for schema changes. When enabled (true), invalidation messages are propagated via the 'pg_yb_invalidation_messages' per-database catalog table. Details of the invalidation messages generated by a DDL are also logged when ysql_log_min_messages is set to 'DEBUG1' or when 'yb_debug_log_catcache_events' is set to true. When disabled, schema changes cause a full catalog cache refresh on existing backends, which can result in a latency and memory spike on existing YSQL backends. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,Auto Analyze service flags,ysql_enable_auto_analyze_service (deprecated),ysql_enable_auto_analyze_service,no,no,deprecated heading,false,no,Default: 'false' Use ysql_enable_auto_analyze on yb-tservers instead.,docs/content/stable/reference/configuration/yb-master.md
1,Advisory lock flags,--ysql_yb_enable_advisory_locks,--ysql_yb_enable_advisory_locks,no,yes,,true,no,Default: true Enables advisory locking. This value must match on all yb-master and yb-tserver configurations of a YugabyteDB cluster.,docs/content/stable/reference/configuration/yb-master.md
1,Advanced flags,--allowed_preview_flags_csv,--allowed_preview_flags_csv,yes,no,,,no,"Comma-separated values (CSV) formatted catalogue of preview feature flag names. Preview flags represent experimental or in-development features that are not yet fully supported. Flags that are tagged as ""preview"" cannot be modified or configured unless they are included in this list. By adding a flag to this list, you explicitly acknowledge and accept any potential risks or instability that may arise from modifying these preview features. This process serves as a safeguard, ensuring that you are fully aware of the experimental nature of the flags you are working with. Adding flags to this list doesn't automatically change any settings. It only _grants permission_ for the flag to be modified. You still need to configure the flag separately after adding it to this list.",docs/content/stable/reference/configuration/yb-master.md
1,Advanced flags,--ysql_index_backfill_rpc_timeout_ms,--ysql_index_backfill_rpc_timeout_ms,no,no,,60000 (1 minute),no,Deadline (in milliseconds) for each internal YB-Master to YB-TServer RPC for backfilling a chunk of the index. Default: 60000 (1 minute),docs/content/stable/reference/configuration/yb-master.md
1,Advanced flags,--hide_dead_node_threshold_mins,--hide_dead_node_threshold_mins,no,no,,1440 (1 day),no,Number of minutes to wait before no longer displaying a dead node (no heartbeat) in the YB-Master Admin UI (the node is presumed to have been removed from the cluster). Default: 1440 (1 day),docs/content/stable/reference/configuration/yb-master.md
1,Advanced flags,--ysql_enable_write_pipelining,--ysql_enable_write_pipelining,no,no,EA,false,no,"Note that this is a preview flag, so it also needs to be added to the allowed_preview_flags_csv list. This flag also needs to be enabled on YB-Tserver servers. Default: false",docs/content/stable/reference/configuration/yb-master.md
